======================================================================
  FORENSIC ACTIVITY RECONSTRUCTION – TIMELINE REPORT
======================================================================
  Generated: 2026-02-25 13:42:18
  Total Events: 234
======================================================================

[2026-02-25 13:20:51] timeline_built       | Evidence (reconstruction) | Reconstructed timeline with 0 events
[2026-02-25 13:20:55] artifact_found       | Evidence (residual_data)  | log_fragment: xsel.log (0 bytes)
[2026-02-25 13:21:05] artifact_found       | Evidence (residual_data)  | cache_file: notices.cache (0 bytes)
[2026-02-25 13:21:05] artifact_found       | Evidence (residual_data)  | cache_file: 3c9d068aa053e2a1c4313fe3391b7a8ee57c4fbd09c4e8aeae49ef333a740150.cache (199 bytes)
[2026-02-25 13:21:05] artifact_found       | Evidence (residual_data)  | cache_file: 8c054ac91082b2ed4862701ed278dc96a78db796db69dedc296e13baab307527.cache (199 bytes)
[2026-02-25 13:21:05] artifact_found       | Evidence (residual_data)  | cache_file: 47d7b47961c7ef585686e506e0813818f7258527b141037db64a28a755f7725b.cache (0 bytes)
[2026-02-25 13:21:06] artifact_found       | Evidence (residual_data)  | log_fragment: idea.log (324224 bytes)
[2026-02-25 13:21:06] artifact_found       | Evidence (residual_data)  | log_fragment: vpn-app.log (429735 bytes)
[2026-02-25 13:21:06] artifact_found       | Evidence (residual_data)  | backup_file: user-places.xbel.bak (4416 bytes)
[2026-02-25 13:21:06] artifact_found       | Evidence (residual_data)  | recent_registry: recently-used.xbel (172923 bytes)
[2026-02-25 13:21:06] artifact_found       | Evidence (residual_data)  | log_fragment: errors.log (78 bytes)
[2026-02-25 13:21:06] artifact_found       | Evidence (residual_data)  | log_fragment: home-9cd74fa6.log (32768 bytes)
[2026-02-25 13:21:06] artifact_found       | Evidence (residual_data)  | log_fragment: wayland-session.log (0 bytes)
[2026-02-25 13:21:07] artifact_found       | Evidence (residual_data)  | log_fragment: chrome_debug.log (53717 bytes)
[2026-02-25 13:21:07] artifact_found       | Evidence (residual_data)  | log_fragment: 000003.log (46 bytes)
[2026-02-25 13:21:07] artifact_found       | Evidence (residual_data)  | log_fragment: 000003.log (76 bytes)
[2026-02-25 13:21:07] artifact_found       | Evidence (residual_data)  | log_fragment: 000003.log (0 bytes)
[2026-02-25 13:21:07] artifact_found       | Evidence (residual_data)  | log_fragment: 000003.log (114 bytes)
[2026-02-25 13:21:07] artifact_found       | Evidence (residual_data)  | log_fragment: 000003.log (1531 bytes)
[2026-02-25 13:21:07] artifact_found       | Evidence (residual_data)  | log_fragment: 000003.log (31932 bytes)
[2026-02-25 13:21:07] artifact_found       | Evidence (residual_data)  | log_fragment: 000003.log (32497 bytes)
